,№,Ўсимлик номи,"УП ""Каракалпакйулкукалам""","УП ""Aндижанйулкукалам""","УП ""Бухарайулкукалам""","УП ""Джизакйулкукалам""","УП ""Кашкадарьяйулкукалам""","УП ""Навоийулкукалам""","УП ""Намангайулкукалам""","УП ""Самаркандйулкукалам""","УП ""Сырдарьяйулкукалам""","УП ""Сурхандарьяйулкукалам""","УП ""Ташкентйулкукалам""","УП ""Ферганайулкукалам""","УП ""Хорезмйулкукалам""",Жами
0,1,Виргин арчаси,3209.0,13202.0,603.0,30000.0,12829.0,1085.0,4770.0,0.0,3000.0,1084.0,6522.0,0.0,1304.0,77608
1,2,Ғарб туяси,3718.0,592.0,346.0,30000.0,411.0,2500.0,34220.0,520.0,2000.0,368.0,589.0,1000.0,0.0,76264
2,3,Шарқ туяси,0.0,33156.0,0.0,0.0,0.0,0.0,0.0,6800.0,0.0,0.0,0.0,0.0,10582.0,50538
3,4,Аризона сарви,323.0,15491.0,0.0,0.0,423.0,438.0,205.0,0.0,0.0,315.0,0.0,0.0,408.0,17603
4,5,Қора қарақай,544.0,642.0,205.0,0.0,938.0,791.0,0.0,0.0,0.0,530.0,2480.0,0.0,126.0,6256
5,6,Кедр,152.0,126.0,106.0,0.0,137.0,50.0,133.0,160.0,0.0,112.0,950.0,0.0,0.0,1926
6,7,Элдор қарағай,1830.0,27175.0,1000.0,0.0,39470.0,0.0,5734.0,3200.0,5000.0,7200.0,0.0,10000.0,78.0,100687
7,8,Қрим қарақай,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,1300.0,0.0,0.0,2100
8,9,Тиканли қора қарағай,204.0,191.0,0.0,0.0,190.0,0.0,105.0,450.0,0.0,0.0,1682.0,0.0,0.0,2822
9,1,Шойи акация,10403.0,10568.0,369.0,0.0,176.0,1800.0,5252.0,4360.0,4500.0,8000.0,1837.0,1400.0,910.0,49575
10,2,Оқ акация,0.0,0.0,0.0,0.0,378.0,0.0,80.0,0.0,0.0,427.0,0.0,0.0,0.0,885
11,3,Шумтол,23265.0,6158.0,7405.0,4180.0,13721.0,1200.0,25355.0,3020.0,16700.0,854.0,3081.0,132.0,6873.0,111944
12,4,Қоғоз дарахти,0.0,4000.0,0.0,0.0,0.0,1000.0,1950.0,0.0,1300.0,0.0,0.0,400.0,0.0,8650
13,5,Қайрағоч,17575.0,1919.0,35173.0,114000.0,2013.0,8000.0,1960.0,1250.0,38000.0,4915.0,5011.0,1000.0,22000.0,252816
14,6,Гледичия,0.0,1500.0,0.0,0.0,7335.0,6000.0,2360.0,0.0,0.0,650.0,0.0,0.0,3800.0,21645
15,7,Аморфа,12860.0,0.0,0.0,0.0,2940.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19800
16,8, Эман,14004.0,2935.0,1026.0,1500.0,1056.0,500.0,19230.0,2920.0,7000.0,784.0,996.0,0.0,848.0,52799
17,9,Заранг,51446.0,6080.0,1828.0,8365.0,0.0,800.0,35499.0,1800.0,0.0,98.0,4620.0,0.0,255.0,110791
18,10,Хило каталпа,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,2000.0,1150.0,0.0,0.0,13330
19,11,Каштан ,6316.0,1700.0,0.0,6000.0,0.0,0.0,17220.0,1820.0,0.0,0.0,7800.0,0.0,0.0,40856
