,plant_name,plant_type
0,Виргин арчаси,Игна баргли дарахт
1,Ғарб туяси,Игна баргли дарахт
2,Шарқ туяси,Игна баргли дарахт
3,Аризона сарви,Игна баргли дарахт
4,Қора қарақай,Игна баргли дарахт
5,Кедр,Игна баргли дарахт
6,Элдор қарағай,Игна баргли дарахт
7,Қрим қарақай,Игна баргли дарахт
8,Тиканли қора қарағай,Игна баргли дарахт
9,Шойи акация,Япроқ баргли дарахт
10,Оқ акация,Япроқ баргли дарахт
11,Шумтол,Япроқ баргли дарахт
12,Қоғоз дарахти,Япроқ баргли дарахт
13,Қайрағоч,Япроқ баргли дарахт
14,Гледичия,Япроқ баргли дарахт
15,Аморфа,Япроқ баргли дарахт
16, Эман,Япроқ баргли дарахт
17,Заранг,Япроқ баргли дарахт
18,Хило каталпа,Япроқ баргли дарахт
19,Каштан ,Япроқ баргли дарахт
20,Япон сафораси,Япроқ баргли дарахт
21,Айлант,Япроқ баргли дарахт
22,Магнолия,Япроқ баргли дарахт
23,Канада багрянниги,Япроқ баргли дарахт
24,Тут,Япроқ баргли дарахт
25,Тол,Япроқ баргли дарахт
26,Жийда,Япроқ баргли дарахт
27,Гўзал каталпа,Япроқ баргли дарахт
28,Лола дарахти,Япроқ баргли дарахт
29,Берёза,Япроқ баргли дарахт
30,Совун дарахти,Япроқ баргли дарахт
31,Маклюра,Япроқ баргли дарахт
32,Липа,Япроқ баргли дарахт
33,Сумах,Япроқ баргли дарахт
34,Павлония,Япроқ баргли дарахт
35,Терак,Япроқ баргли дарахт
36,Япон беҳиси,Буталар
37,Ҳинд сирени ,Буталар
38,Сурия атиргули,Буталар
39,Атиргул,Буталар
40,Наъматак,Буталар
41,Қора маржон,Буталар
42,Скумпия,Буталар
43,Қорсимон мевали бута,Буталар
44,Пираканта,Буталар
45,Магония,Буталар
46,Шилви,Буталар
47,Калина,Буталар
48,Брескелет,Буталар
49,Барбарис,Буталар
50,Спирея,Буталар
51,Вигела,Буталар
52,Цизальпиния,Буталар
53,Испан дроги,Буталар
54,Саксовул,Буталар
55,Шамшод,Буталар
56,Юка,Буталар
57,Бручина,Буталар
