,road_code,road,road_slice,road_type,district
0,А-380,"""Ғузор -Бухоро- Нукус - Бейнеу"" ",679-774,Халқаро,Нукус шаҳри
1,4р-174,Нукус ш.-Хужайли ш.,0-5,Давлат,Нукус шаҳри
2,4р-174 а,4Р-175 автойўлига шахобча,0-2,Давлат,Нукус шаҳри
3,4р-175,Нукус ш.-Оқмангит ш.-Кегейли ш.-Чимбой ш.-Қозоқдарё овули,0-2,Давлат,Нукус шаҳри
4,4р-176,Нукус ш.-Чимбой ш.-Тахтакўпир ш. ,0-22,Давлат,Нукус шаҳри
5,4р-176 а,Нукус темир йўл станциясига,0-10,Давлат,Нукус шаҳри
6,4р-176 б,Нукус автобекатига,0-2,Давлат,Нукус шаҳри
7,4р-176 в,А-380 автойўлига,0-12,Давлат,Нукус шаҳри
8,4р-176 г,4Р-175 автойўлига,0-2,Давлат,Нукус шаҳри
9,4р-180,"Учқудуқ ш-Серкеш к-Ашибузан к-Чукуркак овули-Балиқбой ш/х - ""Қораўзак-Кегайли"" автойўли (38 км).",155-340,Давлат,Нукус шаҳри
10,4р-190,Ғарезсизлик майдони-Халклар дўстлиги кўчаси оркали -Нукус аэропортига ,0-3,Давлат,Нукус шаҳри
11,4р-191,Нукус кичик ҳалқа йўли,0-18,Давлат,Нукус шаҳри
12,4К34а,4р176а авт. йўлидан йўлчилар шаҳарчасига,0-10,Маҳаллий,Нукус шаҳри
13,4К34 г,Орал болалари дам олиш марказига борадиган йўл,0-3,Маҳаллий,Нукус шаҳри
14,4К35,А-380 а.йўлидан Нукус ғишт заводига,0-5,Маҳаллий,Нукус шаҳри
15,4К37,Нукус шаҳри-Тахиатош сув тақсимланиш,0-8,Маҳаллий,Нукус шаҳри
16,4К40,«Ғузор-Нукус-Кунград-Бейнеў» автойўлнинг (757 км)-Нукус парандачилик фабрикасига ,0-20,Маҳаллий,Нукус шаҳри
17,4Н52,"""А-380 Гузор-Нукус-Кунград-Бейнеў"" авт. йўлидан (757 км)-Парандачилик фабрикасига - Бекбой авулига",0-8,Маҳаллий,Нукус шаҳри
18,4Н93,А-380 а.йўлидан : Нукус-Теле марказига,0-4,Маҳаллий,Нукус шаҳри
19,4Н94,А-380 а.йўлидан :Нукус-тубсанаториясига,0-1,Маҳаллий,Нукус шаҳри
20,4Р-160,Урганч ш. - Гурлан ш. - Мангит ш. - Туркманистон Республикаси чегараси,56-82,Давлат,Амударё тумани
21,4р160 а,Жумуртов кони оркали Амударёга шахобча,0-9,Давлат,Амударё тумани
22,4р-181,А-380 автойўли-Қипчоқ пристани-Манғит ш.-Ташовуз ш.- Туркманистон Республикаси чегараси,0-36,Давлат,Амударё тумани
23,4К6,4р181 автойўли-Манғит айланма йўли,0-9,Маҳаллий,Амударё тумани
24,4К19,4Р181 автойўли (5км)-Қипчоқ пристани-Жумабойсага овули-Туркманистон Республикаси чегараси,0-22,Маҳаллий,Амударё тумани
25,"4К21""а""",Манғит шаҳри-Жумуртов пристанига,0-18,Маҳаллий,Амударё тумани
26,"4К21""б""",Охунбобоев ДФХ -Хитой овули-Хоразм ДФХга,0-17,Маҳаллий,Амударё тумани
27,"4К21""в""",Вакунқала овулига,0-4,Маҳаллий,Амударё тумани
28,"4К32""а""",А380 автойўли (738 км)-Бердах ДФХга,0-6,Маҳаллий,Амударё тумани
29,4К44,4Р181 автойўли (5 км)-Манғит ички айланма йўли,0-4,Маҳаллий,Амударё тумани
30,4К45,4Р181 автойўли (36 км)-Туркманистон ДФХ-Ўрозбоев ДФХ,0-18,Маҳаллий,Амударё тумани
31,4К46,4Р181 автойўли (34 км)-Қиличбой ДФХ-Пахтакор овули-Хоразм ДФХ,0-19,Маҳаллий,Амударё тумани
32,4Н8,4Р181 автойўли (36 км)-Ўрозбоев ДФХ,0-3,Маҳаллий,Амударё тумани
33,"4Н15""к""",А380 автойўли (690км)-Қаротов конига,0-14,Маҳаллий,Амударё тумани
34,4Н22,4Р181 автойўли (13км)-Қипчоқ пристани-Манғит овули-Дўстлик ДФХ,0-1,Маҳаллий,Амударё тумани
35,4Н23,4Р181 автойўли (23км)-Манғит ДФХ-Тошёб бўлими,0-10,Маҳаллий,Амударё тумани
36,4Н24,4Р160 автойўли (63км)-Зарбдор ДФХ,0-6,Маҳаллий,Амударё тумани
37,"4Н57""а""",4Р160 автойўли (57км)-Хоразм ДФХга ,0-7,Маҳаллий,Амударё тумани
38,"4Н57""б""",4Р160 автойўли (8км)-Хитой овулига ,0-5,Маҳаллий,Амударё тумани
