,name,region,region_code
0,Амударё тумани,Қорақалпоқ,3396
1,Беруний тумани,Қорақалпоқ,3396
2,Кегайли тумани,Қорақалпоқ,3396
3,Қонликўл тумани,Қорақалпоқ,3396
4,Қораўзак тумани,Қорақалпоқ,3396
5,Қўнғирот тумани,Қорақалпоқ,3396
6,Мўйноқ тумани,Қорақалпоқ,3396
7,Нукус тумани,Қорақалпоқ,3396
8,Нукус шаҳри,Қорақалпоқ,3396
9,Тахтакўпир тумани,Қорақалпоқ,3396
10,Тўрткўл тумани,Қорақалпоқ,3396
11,Хўжайли тумани,Қорақалпоқ,3396
12,Чимбой тумани,Қорақалпоқ,3396
13,Шуманай тумани,Қорақалпоқ,3396
14,Элликқалъа тумани,Қорақалпоқ,3396
15,Андижон шаҳри,Андижон,6027
16,Андижон тумани,Андижон,6027
17,Асака тумани,Андижон,6027
18,Балиқчи тумани,Андижон,6027
19,Булоқбоши тумани,Андижон,6027
20,Бўз тумани,Андижон,6027
21,Жалақудуқ тумани,Андижон,6027
22,Избосган тумани,Андижон,6027
23,Қорасув шаҳри,Андижон,6027
24,Қўрғонтепа тумани,Андижон,6027
25,Марҳамат тумани,Андижон,6027
26,Олтинкўл тумани,Андижон,6027
27,Пахтаобод тумани,Андижон,6027
28,Улуғнор тумани,Андижон,6027
29,Хонабод тумани,Андижон,6027
30,Хўжаобод тумани,Андижон,6027
31,Шахрихон тумани,Андижон,6027
32,Бухоро шаҳри,Бухоро,6379
33,Бухоро тумани,Бухоро,6379
34,Вобкент тумани,Бухоро,6379
35,Ғиждувон тумани,Бухоро,6379
36,Жондор тумани,Бухоро,6379
37,Когон тумани,Бухоро,6379
38,Когон шаҳри,Бухоро,6379
39,Қоракўл тумани,Бухоро,6379
40,Қоровулбозор тумани,Бухоро,6379
41,Олот тумани,Бухоро,6379
42,Пешку тумани,Бухоро,6379
43,Ромитан тумани,Бухоро,6379
44,Шофиркон тумани,Бухоро,6379
45,Арнасой тумани,Жиззах,2656
46,Бахмал тумани,Жиззах,2656
47,Ғаллаорол тумани,Жиззах,2656
48,Дўстлик тумани,Жиззах,2656
49,Ш.Рашидов тумани,Жиззах,2656
50,Жиззах шаҳри,Жиззах,2656
51,Зарбдор тумани,Жиззах,2656
52,Зафаробод тумани,Жиззах,2656
53,Зомин тумани,Жиззах,2656
54,Мирзачўл тумани,Жиззах,2656
55,Пахтакор тумани,Жиззах,2656
56,Фориш тумани,Жиззах,2656
57,Янгиобод тумани,Жиззах,2656
999,Жиззах тумани,Жиззах,2656
999,Шаҳрисабз шаҳри,Қашқадарё,6348
58,Ғузор тумани,Қашқадарё,6348
59,Деҳқонобод тумани,Қашқадарё,6348
60,Қамаши тумани,Қашқадарё,6348
61,Қарши тумани,Қашқадарё,6348
62,Қарши шаҳри,Қашқадарё,6348
63,Касби тумани,Қашқадарё,6348
64,Китоб тумани,Қашқадарё,6348
